"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 11, 2019","16.808","16.802","16.907","16.633","-","0.04%"
"Nov 10, 2019","16.802","16.762","16.808","16.758","-","-0.12%"
"Nov 08, 2019","16.823","17.070","17.095","16.660","135.57K","-1.10%"
"Nov 07, 2019","17.010","17.605","17.645","16.910","166.41K","-3.34%"
"Nov 06, 2019","17.598","17.555","17.630","17.360","101.43K","0.17%"
"Nov 05, 2019","17.568","18.060","18.085","17.520","141.97K","-2.76%"
"Nov 04, 2019","18.066","18.125","18.230","17.960","78.10K","-0.31%"
"Nov 03, 2019","18.122","18.110","18.133","18.090","-","0.39%"
"Nov 01, 2019","18.052","18.120","18.160","17.935","89.93K","-0.08%"
"Oct 31, 2019","18.067","17.895","18.185","17.795","103.41K","1.12%"
"Oct 30, 2019","17.867","17.820","17.965","17.590","84.39K","0.20%"
"Oct 29, 2019","17.831","17.870","17.905","17.605","78.57K","-0.25%"
"Oct 28, 2019","17.876","18.065","18.145","17.785","81.92K","-0.87%"
"Oct 27, 2019","18.032","18.038","18.062","18.010","-","0.59%"
"Oct 25, 2019","17.926","17.835","18.350","17.800","133.99K","0.69%"
"Oct 24, 2019","17.804","17.575","17.860","17.485","76.01K","1.27%"
"Oct 23, 2019","17.580","17.550","17.630","17.515","51.19K","0.46%"
"Oct 22, 2019","17.500","17.580","17.680","17.440","56.64K","-0.58%"
"Oct 21, 2019","17.602","17.615","17.895","17.530","76.35K","0.05%"
"Oct 20, 2019","17.593","17.570","17.605","17.565","-","0.09%"
"Oct 18, 2019","17.578","17.570","17.620","17.420","48.12K","-0.19%"
"Oct 17, 2019","17.612","17.415","17.665","17.330","62.37K","1.06%"
"Oct 16, 2019","17.427","17.430","17.490","17.180","80.64K","0.25%"
"Oct 15, 2019","17.384","17.695","17.765","17.370","71.96K","-1.84%"
"Oct 14, 2019","17.710","17.590","17.735","17.455","48.68K","1.13%"
"Oct 13, 2019","17.512","17.535","17.595","17.497","-","-0.18%"
"Oct 11, 2019","17.544","17.540","17.785","17.370","102.67K","-0.33%"
"Oct 10, 2019","17.602","17.800","17.935","17.455","93.95K","-1.17%"
"Oct 09, 2019","17.810","17.775","18.000","17.720","67.68K","0.62%"
"Oct 08, 2019","17.700","17.490","17.860","17.305","91.07K","0.91%"
"Oct 07, 2019","17.540","17.665","17.700","17.435","35.22K","-0.43%"
"Oct 06, 2019","17.615","17.598","17.688","17.580","-","-0.06%"
"Oct 04, 2019","17.625","17.630","17.745","17.330","59.58K","-0.29%"
"Oct 03, 2019","17.676","17.630","17.845","17.515","70.00K","-0.04%"
"Oct 02, 2019","17.683","17.310","17.730","17.240","70.48K","2.20%"
"Oct 01, 2019","17.302","17.045","17.375","16.940","82.42K","1.79%"
"Sep 30, 2019","16.998","17.590","17.660","16.980","96.15K","-3.30%"
"Sep 29, 2019","17.578","17.595","17.657","17.555","-","-0.42%"
"Sep 27, 2019","17.652","17.885","18.110","17.345","134.22K","-1.45%"
"Sep 26, 2019","17.912","17.990","18.750","17.785","110.04K","-0.89%"
"Sep 25, 2019","18.073","18.680","18.810","17.875","132.58K","-2.98%"
"Sep 24, 2019","18.628","18.655","18.810","17.990","132.63K","-0.44%"
"Sep 23, 2019","18.711","18.030","18.780","17.810","129.34K","3.68%"
"Sep 22, 2019","18.047","18.052","18.058","18.012","-","1.11%"
"Sep 20, 2019","17.849","17.870","18.060","17.810","59.13K","-0.20%"
"Sep 19, 2019","17.884","17.845","18.015","17.655","65.97K","-0.20%"
"Sep 18, 2019","17.919","18.095","18.120","17.580","100.53K","-1.22%"
"Sep 17, 2019","18.140","17.925","18.170","17.820","88.43K","0.63%"
"Sep 16, 2019","18.026","17.755","18.075","17.690","108.43K","1.14%"
"Sep 15, 2019","17.823","17.517","17.843","17.517","-","1.45%"
"Sep 13, 2019","17.569","18.155","18.265","17.470","106.47K","-3.34%"
"Sep 12, 2019","18.177","18.200","18.555","18.085","99.70K","0.04%"
"Sep 11, 2019","18.170","18.095","18.335","17.970","84.66K","-0.09%"
"Sep 10, 2019","18.186","18.090","18.265","17.855","116.63K","0.10%"
"Sep 09, 2019","18.167","18.215","18.400","18.015","135.35K","-0.55%"
"Sep 08, 2019","18.267","18.262","18.282","18.157","-","0.82%"
"Sep 06, 2019","18.119","18.715","18.890","18.045","221.80K","-3.66%"
"Sep 05, 2019","18.807","19.645","19.675","18.570","194.13K","-3.79%"
"Sep 04, 2019","19.547","19.350","19.750","19.280","156.69K","1.61%"
"Sep 03, 2019","19.237","18.520","19.395","18.365","199.68K","4.03%"
"Sep 02, 2019","18.492","18.562","18.652","18.367","-","-0.40%"
"Sep 01, 2019","18.567","18.475","18.683","18.475","-","1.23%"
"Aug 30, 2019","18.342","18.365","18.575","18.165","115.42K","0.10%"
"Aug 29, 2019","18.323","18.450","18.760","18.150","161.56K","-0.72%"
"Aug 28, 2019","18.456","18.295","18.620","18.170","103.11K","0.86%"
"Aug 27, 2019","18.298","17.780","18.330","17.755","71.09K","2.88%"
"Aug 26, 2019","17.785","17.650","17.900","17.640","58.66K","-0.15%"
"Aug 25, 2019","17.812","17.552","17.863","17.552","-","1.47%"
"Aug 23, 2019","17.554","17.180","17.605","17.105","53.31K","2.19%"
"Aug 22, 2019","17.178","17.250","17.265","17.055","30.15K","-0.65%"
"Aug 21, 2019","17.290","17.265","17.315","17.115","27.09K","0.02%"
"Aug 20, 2019","17.286","16.985","17.310","16.970","24.46K","1.23%"
"Aug 19, 2019","17.076","17.260","17.260","16.960","24.25K","0.05%"
"Aug 18, 2019","17.067","17.108","17.122","17.060","-","-1.14%"
"Aug 16, 2019","17.263","17.385","17.455","17.165","9.98K","-0.52%"
"Aug 15, 2019","17.353","17.310","17.510","17.215","13.26K","-0.40%"
"Aug 14, 2019","17.422","17.100","17.450","17.000","13.44K","1.73%"
"Aug 13, 2019","17.125","17.200","17.625","16.650","31.54K","0.32%"
"Aug 12, 2019","17.071","16.965","17.150","16.800","83.99K","0.44%"
"Aug 11, 2019","16.997","16.968","17.003","16.942","-","0.39%"
"Aug 09, 2019","16.931","16.940","17.140","16.860","98.62K","-0.03%"
"Aug 08, 2019","16.936","17.100","17.225","16.810","124.04K","-1.51%"
"Aug 07, 2019","17.196","16.450","17.260","16.450","174.98K","4.57%"
"Aug 06, 2019","16.445","16.440","16.530","16.365","71.82K","0.32%"
"Aug 05, 2019","16.393","16.260","16.590","16.135","114.33K","1.17%"
"Aug 04, 2019","16.203","16.218","16.245","16.203","-","-0.41%"
"Aug 02, 2019","16.270","16.355","16.385","16.030","100.15K","0.56%"
"Aug 01, 2019","16.180","16.280","16.405","15.935","122.90K","-1.37%"
"Jul 31, 2019","16.405","16.585","16.600","16.215","107.09K","-0.92%"
"Jul 30, 2019","16.558","16.500","16.640","16.425","57.74K","0.72%"
"Jul 29, 2019","16.440","16.420","16.500","16.360","62.06K","0.23%"
"Jul 28, 2019","16.402","16.427","16.453","16.402","-","0.03%"
"Jul 26, 2019","16.397","16.455","16.550","16.355","80.58K","-0.09%"
"Jul 25, 2019","16.411","16.620","16.685","16.345","121.09K","-1.29%"
"Jul 24, 2019","16.626","16.435","16.680","16.350","84.63K","0.91%"
"Jul 23, 2019","16.476","16.380","16.575","16.205","111.41K","0.40%"
